Artist Name,Slug,Category,Image URL,Bio
Alfa,alfa,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/alfa.jpg,"Alfa is a singer/songwriter who can be found playing guitar, a ukulele, a violin, or tinkering with the ivories. Since the age of 15, she has released 5 CD’s of original music in the folk-pop genre, and has been heard on E!’s Keeping Up with the Kardashians and MTV’s Friendzone. Her latest album, “World Go Blue” reached the CMJ Top 200 National Airplay Radio charts (#123), and the Top 100 College Radio Charts (#65). In September 2013, Alfa toured the Philippines, playing 7 shows and 3 radio shows in 6 days, including headlining at SM Mall of Asia with Ukulele Philippines, being featured by the Philippines Department of Tourism at Manila’s SMX Convention Center, and performing on-air with Magic 89.9?s popular radio show, Boys Night Out. In 2012, Music Connection Magazine placed Alfa in their “Top 25 Music Critiques,” comparing her style to songwriters Ingrid Michaelson and Sara Bareilles. Click below to learn more. Official Site: www.alfa-music.com
YouTube: www.youtube.com/alfamusic
Facebook: www.facebook.com/alfamusic
Twitter: www.twitter.com/alfamusic
EPK: www.sonicbids.com/alfamusic"
Rod Argent,rod-argent,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/rod_argent-1.jpg,"Rod was born in 1945 in St. Albans. His early musical education consisted of a couple of years piano lessons and several years as a member of St.Albans Cathedral Choir. In 1956, he heard Elvis sing 'Hound Dog', and in that moment fell in love with rock 'n' roll. He soon went to his first live gig – featuring his older cousin Jim Rodford (later to play bass with 'Argent', and now playing with 'The Kinks') on tea chest bass. Starstruck, he knew that he somehow had to be part of what was going on, and immediately vowed that one day he would have his own group. Three years later, at the age of 16, he formed 'The Zombies'. Between 1961 and 1963, 'The Zombies' quickly built a reputation as one of the best groups in and around St. Albans, and in a 1963 they secured a record deal with Decca after winning the 'Herts Beat' contest. Rod wrote 'She's Not There' especially for the first recording session (only his second ever song), and the subsequent record was a hit all over the world, going to Number 1 in the US 'Cash Box' charts (No 3 in 'Billboard'). More » Official Website: http://www.rodargent.com/"
David Arnay,david-arnay,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/david_arnay.jpg,"Born and raised in the New York City area, David Arnay moved to Los Angeles in 1987, where he’s been working steadily as a player, teacher, composer and producer. He serves on the Jazz Studies Faculty at the University of Southern California, and at Pasadena City College. David's collaborations with woodwind artist Bennie Maupin (Miles Davis, Herbie Hancock) and guitarist Phil Upchurch (George Benson, Quincy Jones) featured appearances at prominent festivals and concert venues. He was pianist for Upchurch’s acclaimed album “Tell The Truth” (Evidence). Following the release of his debut CD Daddy's Groove (Band Together), The David Arnay Group performed at premier Los Angeles venues, including Playboy Jazz/Pasadena Summerfest, the Los Angeles County Museum of Art (LACMA), and Catalina's Bar and Grill. His trio album Blues&#8230; And Then Some (Studio N) received extensive radio play. Website: http://www.davidarnay.com/ Reverbnation: https://www.reverbnation.com/davidarnay Twitter: https://twitter.com/DavidArnay1 Facebook: https://www.facebook.com/David-Arnay-Music-428407297251413/"
Barry Baker,barry-baker,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/barry_baker.jpg,"For the past 13 years Barry has been performing solo theatre organ concerts at major venues from New York to Los Angeles. He has concertized throughout England, Scotland, Wales, New Zealand and Australia (which included Melbourne, Sydney, Perth, and Adelaide). Barry was selected as the only American representative to perform a concert for the 1996 Theatre Organ Society of Australia National Convention, held in Sydney. In 1999, he was the recipient of the American Theatre Organ Society ""Organist Of The Year"" award. Barry is a graduate of The University of Cincinnati, College-Conservatory of Music (Piano Performance, 1996), where he studied with Richard Morris, and Southern Ohio College (Broadcasting, 1992). Barry has released two commercial compact disc recordings of his solo artistry on the acclaimed Ronald Wehmeier Studio Pipe Organ (in Cincinnati), which have each received critical and popular praise—""For The Very First Time"" (1995) and ""A Barry Baker Concert"" (1999). The latter title features selections recorded live in concert. Since 1989, Barry has been Artist-In-Residence at the Wehmeier Studio, where he has performed a series of well-attended solo concerts. He has also appeared on other commercial recording releases."
Michael Bearden,michael-beardon,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/michael_bearden.jpg,"&nbsp; Michael is a rare musical talent, an accomplished musician who has risen to the top of his game, collaborating and performing with today’s hottest artists. His diverse musical skills have been sought by the likes of Brandy, Christina Aguilera, Ricky Martin, Destiny’s Child, D’Angelo, and Jennifer Lopez. He has performed and/or recorded with some of popular music’s giants including Madonna, Whitney Houston, Lionel Richie, Chaka Kahn, Patti Austin, James Ingrahm, Babyface, Lenny Kravitz, Yoko Ono, George Benson, Natalie Cole, Sophie B. Hawkins, Anita Baker, Edie Brickell, and legends Nancy Wilson, Stevie Wonder, Aretha Franklin, Liza Minelli and Michael Jackson, to name just a few. Official Website: http://michaelbearden.com/"
Joe Bongiorno,joe-bongiorno,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/joe_bongiorno.jpg,"After abandoning his classical training as a child, Joe returned to the piano in his late 20's and discovered a wonderful channel of peace & emotional release. All of Joe's solo piano recordings are self produced at his Piano Haven Recording Studio. “Into the Wind will thrill Joe Bongiorno’s fans… smooth and melodic with an undercurrent of passion, conveying an array of emotions and experiences, his best work yet!”
– Kathy Parsons, Mainly Piano “Mesmerized surrounds the listener with such irresistible, serene melodies that it would be difficult to not fall under the music’s spell. Bongiorno’s carefully nuanced playing flows effortlessly throughout the album’s entirety, perfect for late night piano lovers.”
– Bill Binkelman, New Age Retailer “Joe's CD 'Destined' indeed qualifies as an album of timeless beauty. If there were music in the Garden of Eden, this might well be it!” – David Nevue, Whisperings Solo Piano Radio Official Website: http://joebongiorno.com/ YouTube: https://www.youtube.com/user/PianoJoeB"
Tim Brantley,tim-brantley,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/tim_brantley.jpg,"An emerging piano player and singer who's being compared to Bruce Springsteen and Elton John, Tim Brantley brings considerable piano skills and vocal talent to the stage. His debut album ""Goldtop Heights"" is receiving critical acclaim and a recent live performance evoked the following comments from Performing Songwriter magazine. ""His powerful voice had the crowd silent and at full attention within moments. Think of him as a young Elton John"". Tim is busy these days crisscrossing the country in support of his CD release. Tim's songs ""recall the singer-songwriter of the heydays of the 70's, but with an urgent, modern edge"", writes The Washington Post. The Atlanta Journal Constitution calls Goldtop Heights ""A beautifully crafted debut CD."" Official Website: http://www.myspace.com/timbrantley"
Christine Brown,christine-brown,acoustic-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/christine_brown.jpg,"A gifted solo pianist and composer, Christine's music is a unique blend of contemporary/new age with a classical influence. Her latest CD, ""Souvenirs"" has been awarded Best Piano Album of the Year 2014 by Whisperings Solo Piano Radio. Previous albums have received numerous nominations and accolades, and her music can be heard worldwide, featured on Pandora, iTunes, Spotify, Muzak, cable and satelite channels. Christine discovered her love for the piano at an early age. School years were spent accompanying vocal groups and taking piano lessons. While earning a business degree at the University of Colorado, she was inspired by the new age genre of solo piano, but never studied music or composition. Years later, Christine rediscovered her passion for the piano, immersing herself in her music after the loss of her mother in 1990. She began composing, using the piano to voice her emotions, releasing heartfelt compositions that captured listeners. "" I am always deeply impressed by the grace, emotion and beauty that Christine brings to her music. Sometimes joyful, sometimes melancholy, often reflective, and always beautiful, Christine delivers some of the best of what the solo piano genre has to offer .A mixture of passion, exceptional playing chops and an abundance of grace consistently puts her music in a category of its own. The pieces express a wide range of emotions and experiences with depth, sincerity and an elegant touch.""– Kathy Parsons, MainlyPiano.com. ""In the genre of music (contemporary solo piano) where there is so much similarity between artists, Christine Brown stands out. Her neo-classical twists are ear catching and pleasantly reminiscent of a time in the not too distant past when piano music was such that to truly appreciate it, you needed to absorb it slowly like a fine wine. And of her album, The Wishing Well, I must say it's sublime.""
– David Nevue, Founder and Director, Whisperings Solo Piano Radio. ”Christine Brown is the real deal&#8230;.her music is vibrant, colorful and full of life. Skilled at the art of blending chords and note progressions into beautiful aural tapestries, her music is at once a welcome retreat from the mundane and ordinary. Her emotions come through her music&#8230; and through her music, she is able to reach out and touch the hearts of millions of appreciative piano music fans."" – Richard Waterman, Founder RealPianoMusic.com Official Website: http://www.christinebrownpiano.com/ Facebook: https://www.facebook.com/christinebrownpiano Twitter: https://twitter.com/pianochristineb"
Jon Carin,jon-carin,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/jon_carin.jpg,"Jon Carin is a Grammy Award winning musician, singer, songwriter and producer who has been a longtime collaborator with Pink Floyd and the solo careers of David Gilmour and Roger Waters. He has also performed and recorded with The Who, Pete Townshend, Eddie Vedder, Kate Bush, Bryan Ferry, Soul Asylum, The Psychedelic Furs and Gipsy Kings to name a few. As a teenager, Jon Carin started his professional musical career with the band Industry as their lead singer, keyboardist and songwriter. During his time with the band, they had a hit single with ""State of the Nation"" in 1982, followed by the album Stranger to Stranger. In 1985, he joined Bryan Ferry at Live Aid, where he first played with Pink Floyd guitarist David Gilmour. Later, Carin would collaborate as a musician and writer on the sessions for Pink Floyd's A Momentary Lapse of Reason album, receiving credit as a keyboardist on the 1987 release. He is a co-writer of the hit song ""Learning to Fly"" from that album. Official Website: https://www.facebook.com/joncarinofficial/"
Jake Clayton,jake-clayton,digital-piano,https://pub-8da77878131e4c099bb045b914814926.r2.dev/kawaius/artists/jake_clayton.jpg,"Jake Clayton is a self-taught multi-instrumentalist with a long list of instruments played, including piano, fiddle, dobro, banjo, and mandolin. Although still in his 20’s, Jake has established himself as a top Nashville musician, performing now with both the legendary Tanya Tucker and with chart topping country artist Jimmy Wayne. Jake accompanied Jimmy Wayne on country music’s largest tour of 2009, headlined by Brad Paisley. Jake also travels back to his hometown area to play traditional bluegrass music with Iron Weed, a group based out of Columbia, Missouri. Recently, Iron Weed traveled to China and performed in multiple venues and on several television shows throughout the country. These performances included an appearance on CC TV’s equivalent to America’s “The Tonight Show”, a performance at the legendary Cinderella club in Jinan, and a very rare opportunity of playing for the Taoist monks in Laoshan, China! Jake has a steady performance schedule and there’s no telling which instrument you’ll catch him playing. Official Website: http://www.myspace.com/thejakeclayton"
