name,slug,categories,image_url,artist_page_url,bio_text,featured
"Alfa","alfa","acoustic-piano","https://kawaius.com/wp-content/uploads/2018/01/Alfa.jpg","https://kawaius.com/artists/acoustic-piano/alfa/","Alfa is a singer/songwriter who can be found playing guitar, a ukulele, a violin, or tinkering with the ivories. Since the age of 15, she has released 5 CD’s of original music in the folk-pop genre, and has been heard on E!’s Keeping Up with the Kardashians and MTV’s Friendzone. Her latest album, “World Go [&#8230;] Alfa Alfa is a singer/songwriter who can be found playing guitar, a ukulele, a violin, or tinkering with the ivories. Since the age of 15, she has released 5 CD’s of original music in the folk-pop genre, and has been heard on E!’s Keeping Up with the Kardashians and MTV’s Friendzone.","yes"
"Barry Baker","barry-baker","acoustic-piano","https://kawaius.com/wp-content/uploads/2018/01/Barry_Baker.jpg","https://kawaius.com/artists/acoustic-piano/barry-baker/","For the past 13 years Barry has been performing solo theatre organ concerts at major venues from New York to Los Angeles. He has concertized throughout England, Scotland, Wales, New Zealand and Australia (which included Melbourne, Sydney, Perth, and Adelaide). Barry was selected as the only American representative to perform a concert for the 1996 [&#8230;] Barry Baker For the past 13 years Barry has been performing solo theatre organ concerts at major venues from New York to Los Angeles. He has concertized throughout England, Scotland, Wales, New Zealand and Australia (which included Melbourne, Sydney, Perth, and Adelaide). Barry was selected as the only American representative to perform a concert for the 1996 Theatre Organ Society of Australia National Convention, held in Sydney. In 1999, he was the recipient of the American Theatre Organ Society &#8220;Organist Of The Year&#8221; award.","yes"
"Christine Brown","christine-brown","acoustic-piano","https://kawaius.com/wp-content/uploads/2018/01/Christine_Brown.jpg","https://kawaius.com/artists/acoustic-piano/christine-brown/","A gifted solo pianist and composer, Christine&#8217;s music is a unique blend of contemporary/new age with a classical influence. Her latest CD, &#8220;Souvenirs&#8221; has been awarded Best Piano Album of the Year 2014 by Whisperings Solo Piano Radio. Previous albums have received numerous nominations and accolades, and her music can be heard worldwide, featured on [&#8230;] Christine Brown A gifted solo pianist and composer, Christine&#8217;s music is a unique blend of contemporary/new age with a classical influence. Her latest CD, &#8220;Souvenirs&#8221; has been awarded Best Piano Album of the Year 2014 by Whisperings Solo Piano Radio. Previous albums have received numerous nominations and accolades, and her music can be heard worldwide, featured on Pandora, iTunes, Spotify, Muzak, cable and satelite channels.","yes"
"David Arnay","david-arnay","acoustic-piano","https://kawaius.com/wp-content/uploads/2018/01/David_Arnay.jpg","https://kawaius.com/artists/acoustic-piano/david-arnay/","Born and raised in the New York City area, David Arnay moved to Los Angeles in 1987, where he’s been working steadily as a player, teacher, composer and producer. He serves on the Jazz Studies Faculty at the University of Southern California, and at Pasadena City College. David&#8217;s collaborations with woodwind artist Bennie Maupin (Miles [&#8230;] David Arnay Born and raised in the New York City area, David Arnay moved to Los Angeles in 1987, where he’s been working steadily as a player, teacher, composer and producer. He serves on the Jazz Studies Faculty at the University of Southern California, and at Pasadena City College.","yes"
"Joe Bongiorno","joe-bongiorno","acoustic-piano","https://kawaius.com/wp-content/uploads/2018/01/Joe_Bongiorno.jpg","https://kawaius.com/artists/acoustic-piano/joe-bongiorno/","After abandoning his classical training as a child, Joe returned to the piano in his late 20&#8217;s and discovered a wonderful channel of peace & emotional release. All of Joe&#8217;s solo piano recordings are self produced at his Piano Haven Recording Studio. “Into the Wind will thrill Joe Bongiorno’s fans… smooth and melodic with an [&#8230;] Joe Bongiorno After abandoning his classical training as a child, Joe returned to the piano in his late 20&#8217;s and discovered a wonderful channel of peace & emotional release. All of Joe&#8217;s solo piano recordings are self produced at his Piano Haven Recording Studio.","yes"
"Matt Falker","matt-falker","acoustic-piano","https://kawaius.com/wp-content/uploads/2018/01/m.falker@300.jpg","https://kawaius.com/artists/acoustic-piano/matt-falker/","Matt Falker is on full-time faculty at MiraCosta College in Oceanside, CA, where he directs the Frequency vocal jazz program and teaches theory and piano classes. He has also joined the faculty at the Bob Cole Conservatory of Music at CSU Long Beach, teaching private jazz voice lessons. His previous faculty positions include the University [&#8230;] Matt Falker Matt Falker is on full-time faculty at MiraCosta College in Oceanside, CA, where he directs the Frequency vocal jazz program and teaches theory and piano classes. He has also joined the faculty at the Bob Cole Conservatory of Music at CSU Long Beach, teaching private jazz voice lessons. His previous faculty positions include the University of Southern California and Cal State Northridge. He is the founder and director of the Oceanside Jazz Festival, a non-competitive vocal jazz and big band festival hosted at MiraCosta College.","yes"
"Michael Beardon","michael-beardon","acoustic-piano","https://kawaius.com/wp-content/uploads/2018/01/Michael_Bearden.jpg","https://kawaius.com/artists/acoustic-piano/michael-beardon/","Michael is a rare musical talent, an accomplished musician who has risen to the top of his game, collaborating and performing with today’s hottest artists. His diverse musical skills have been sought by the likes of Brandy, Christina Aguilera, Ricky Martin, Destiny’s Child, D’Angelo, and Jennifer Lopez. He has performed and/or recorded with some [&#8230;] Tags: michael beardon","yes"
"Boh Cooper","boh-cooper","digital-piano","https://kawaius.com/wp-content/uploads/2018/01/Boh_Cooper.png","https://kawaius.com/artists/digital-piano/boh-cooper/","Boh Cooper has been a performing keyboardist with many artists including Rascal Flatts, Michael W. Smith, Kim Carnes, Steven Curtis Chapman, Michael English, Loverboy, and Peter Cetera. Boh Cooper &#8211; a singer-songwriter in his own right – lives just outside of Nashville, TN with his wife Jeri and son Luke. &#8220;Kawai makes the best feeling [&#8230;] Boh Cooper Boh Cooper has been a performing keyboardist with many artists including Rascal Flatts, Michael W. Smith, Kim Carnes, Steven Curtis Chapman, Michael English, Loverboy, and Peter Cetera.","yes"
"Carol Connors","carol-connors","digital-piano","https://kawaius.com/wp-content/uploads/2018/01/Carol_Connors.jpg","https://kawaius.com/artists/digital-piano/carol-connors/","Carbon Fiber Technology Kawai Piano Actions ABS - The Truth Sound Technology Keyboard Actions Soundboard Speaker System","yes"
"Jake Clayton","jake-clayton","digital-piano","https://kawaius.com/wp-content/uploads/2018/01/Jake_Clayton-1024x683.jpg","https://kawaius.com/artists/digital-piano/jake-clayton/","Jake Clayton is a self-taught multi-instrumentalist with a long list of instruments played, including piano, fiddle, dobro, banjo, and mandolin. Although still in his 20’s, Jake has established himself as a top Nashville musician, performing now with both the legendary Tanya Tucker and with chart topping country artist Jimmy Wayne. Jake accompanied Jimmy Wayne on [&#8230;] Jake Clayton Jake Clayton is a self-taught multi-instrumentalist with a long list of instruments played, including piano, fiddle, dobro, banjo, and mandolin. Although still in his 20’s, Jake has established himself as a top Nashville musician, performing now with both the legendary Tanya Tucker and with chart topping country artist Jimmy Wayne. Jake accompanied Jimmy Wayne on country music’s largest tour of 2009, headlined by Brad Paisley.","yes"
