ID,Store Name,Address,Address 2,City,State,ZIP,Categories,Latitude,Longitude,Published
1687,Academy of Music,C – 51 St. Anne's Rd,,Winnipeg,Manitoba,R2M244,"Acoustic Pianos, Digital Pianos",49.8626028,-97.1092020,Yes
1671,Alamo Music,1530 Babcock Rd,,San Antonio,TX,78226,"Acoustic Pianos, Digital Pianos",29.4905528,-98.5692152,Yes
1670,Alamo Music - Piano Showroom,"9012 Research Blvd, Suite C-15",,Austin,TX,78757,"Acoustic Pianos, Digital Pianos",30.3705389,-97.7251420,Yes
1669,Alamo Music Center Inc,425 North Main Avenue,,San Antonio,TX,78205,"Acoustic Pianos, Digital Pianos",29.4291759,-98.4941509,Yes
1468,Allegro Pianos,"1068 Long Ridge Rd,",,Stamford,CT,06903,"Acoustic Pianos, Digital Pianos",41.1049934,-73.5678326,Yes
1470,Andrea's Music Studio,"92 Queen Street,",,Dartmouth,NS,B2Y 1G8,Digital Pianos,44.6681732,-63.5647223,Yes
1717,Andy Owings Music Center,"2000 Coastal Grand Circle, Suite 338",,Myrtle Beach,SC,29577,"Acoustic Pianos, Digital Pianos",33.7027924,-78.9242565,Yes
1471,Arizona Piano Company,"4134 E. Wood Street, Suite 200,",,Phoenix,AZ,85040,"Acoustic Pianos, Digital Pianos",33.4101747,-111.9901624,Yes
1694,Artist Music Center,"5024 Campbell Blvd, Suite K",,Nottingham,MD,21236,"Acoustic Pianos, Digital Pianos",39.3741420,-76.4562396,Yes
1472,Artist Pianos,"664 New Loudon Road, Suite 2",,Latham,NY,12110,Digital Pianos,42.7357215,-73.7640540,Yes
1473,Artist Pianos,"5780 Celi Drive,",,East Syracuse,NY,13057,Digital Pianos,43.0510604,-76.0689695,Yes
1668,Artistic Pianos,"740 Los Vallecitos Blvd., Suite 101",,San Marcos,CA,92069,"Acoustic Pianos, Digital Pianos",33.1400817,-117.1782529,Yes
1705,Atlantic Music Center,"420 North Wickham Road, Ste. C",,Melbourne,FL,32935,"Acoustic Pianos, Digital Pianos",28.1136621,-80.6740019,Yes
1712,Atlantic Music Center,1249 North Orange Avenue,,Orlando,FL,32804,"Acoustic Pianos, Digital Pianos",28.5629683,-81.3727224,Yes
1474,Avery Piano Co.,"256 Weybosset Street,",,Providence,RI,02903,"Acoustic Pianos, Digital Pianos",41.8208019,-71.4127414,Yes
